document_id,document_name,document_source_url,document_content_type,document_md5_sum,translated,has_valid_text,author,geography_iso,types,date,author_is_party,collection_id,family_id,family_name,family_slug,role,variant,status,num_text_blocks,num_pages
UNFCCC.non-party.1369.0,Technical analysis of the second biennial update report of Indonesia submitted on 21 December 2018. Summary report by the team of technical experts,https://unfccc.int/sites/default/files/resource/tasr2019_IDN.pdf,application/pdf,cdc5a29d6205a03c874a70a642c6f9c2,False,True,['UNFCCC Secretariat'],nan,['Technical Analysis Summary Report'],2020-01-23,False,,UNFCCC.family.1369.0,Technical analysis of the second biennial update report of Indonesia submitted on 21 December 2018. Summary report by the team of technical experts,technical-analysis-of-the-second-biennial-update-report-of-indonesia-submitted-on-21-december-2018-summary-report-by-the-team-of-technical-experts_38cb,,,,196,25
UNFCCC.party.153.0,Bosnia and Herzegovina First NDC (Updated submission),https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20BiH_November%202020%20FINAL%20DRAFT%2005%20Nov%20ENG%20LR.pdf,application/pdf,2727589135ba0e4265ec15a615a0b78f,False,True,['Bosnia and Herzegovina'],BIH,['Nationally Determined Contribution'],2021-04-20,True,,UNFCCC.family.153.0,Bosnia and Herzegovina First NDC (Updated submission),bosnia-and-herzegovina-first-ndc-updated-submission_71c1,,,,53,11
UNFCCC.party.602.0,Honduras. National communication (NC). NC 3 - Executive Summary,https://unfccc.int/sites/default/files/resource/NAI%20Excecutive%20%20Summary%20NC3.pdf,application/pdf,230d0d86f6c658f9ee2639fd27df4a34,True,True,['Honduras'],HND,['National Communication'],2020-09-02,True,,UNFCCC.family.602.0,Honduras. National communication (NC). NC 3,honduras-national-communication-nc-nc-3_4528,,,,731,48
UNFCCC.party.1509.0,Ukraine First NDC (Updated submission),https://unfccc.int/sites/default/files/NDC/2022-06/Ukraine%20NDC_July%2031.pdf,application/pdf,9cbf102d21afb3e7d98e91e46a820422,False,True,['Ukraine'],UKR,['Nationally Determined Contribution'],2021-07-31,True,,UNFCCC.family.1509.0,Ukraine First NDC (Updated submission),ukraine-first-ndc-updated-submission_cfc1,,,,98,19
UNFCCC.non-party.1545.0,"University of Exeter Global Systems Institute, National Carbon Emissions: Submission to the first global stocktake",https://unfccc.int/sites/default/files/resource/Copy%20of%20202202251311---National_Carbon_Emissions_2021_GST.xlsx,,,True,False,['University of Exeter'],nan,['Submission to the Global Stocktake'],2022-04-13,False,,UNFCCC.family.1545.0,"University of Exeter Global Systems Institute, National Carbon Emissions: Submission to the first global stocktake",university-of-exeter-global-systems-institute-national-carbon-emissions-submission-to-the-first-global-stocktake_cf51,,,,0,0
UNFCCC.non-party.1214.0,State of Climate Action 2021 Systems Transformations Required to Limit Global Warming to 1.5°C,https://unfccc.int/sites/default/files/resource/202208051457---State%20of%20Climate%20Action%202021%20Report%20%20-%20Submission%20to%20the%20First%20Global%20Stocktake.pdf,application/pdf,f367c1495f3afddc0446294069c65bf1,False,True,['World Resources Institute (WRI)'],nan,['Submission to the Global Stocktake'],2022-08-08,False,,UNFCCC.family.1214.0,State of Climate Action 2021 Systems Transformations Required to Limit Global Warming to 1.5°C,state-of-climate-action-2021-systems-transformations-required-to-limit-global-warming-to-1-5degc_b46e,,,,3390,249
UNFCCC.non-party.894.0,Nationally determined contributions under the Paris Agreement. Synthesis report by the secretariat,https://unfccc.int/sites/default/files/resource/cma2021_02S.pdf,application/pdf,9e7c3f7c65994eda83523ca8b31b01da,False,True,['UNFCCC Secretariat'],nan,['Synthesis Report'],2021-02-26,False,,UNFCCC.family.889.0,Nationally determined contributions under the Paris Agreement. Synthesis report by the secretariat,nationally-determined-contributions-under-the-paris-agreement-synthesis-report-by-the-secretariat_64bc,,,,309,33
UNFCCC.party.702.0,Kenya First NDC (Archived),https://unfccc.int/sites/default/files/NDC/2022-06/Kenya_NDC_20150723.pdf,application/pdf,09a2ba8a56eff6af32ceaa2d4b34a1cc,False,True,['Kenya'],KEN,['Nationally Determined Contribution'],2016-12-28,True,,UNFCCC.family.702.0,Kenya First NDC (Archived),kenya-first-ndc-archived_fe18,,,,55,7
UNFCCC.non-party.1445.0,The Role of Systematic Earth Observations in the Global Stocktake. European Space Agency (ESA),https://unfccc.int/sites/default/files/resource/202203012343_SO_in_GST_2022_final.pdf,application/pdf,bf6a657a02ba9fdeac1a82a39e6ce0ab,False,True,['European Space Agency (ESA)'],nan,['Submission to the Global Stocktake'],2022-04-21,False,,UNFCCC.family.1445.0,The Role of Systematic Earth Observations in the Global Stocktake. European Space Agency (ESA),the-role-of-systematic-earth-observations-in-the-global-stocktake-european-space-agency-esa_122a,,,,1123,140
UNFCCC.party.817.0,Mauritius. Biennial update report (BUR). BUR 1. National inventory report.,https://unfccc.int/sites/default/files/resource/National%20Inventory%20Report%20-%20Republic%20of%20Mauritius.pdf,application/pdf,efaa5371d604ff0d760bd5ac5e3f2e6b,False,True,['Mauritius'],MUS,['National Inventory Report'],2021-12-31,True,,UNFCCC.family.817.0,Mauritius. Biennial update report (BUR). BUR 1. National inventory report.,mauritius-biennial-update-report-bur-bur-1-national-inventory-report_ae3e,,,,2049,304
